7zip 25.01-1
pandoc-cli 3.4-21
pango 1:1.57.0-2
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parallel 20251122-1
parallel-docs 20251122-1
pari 2.17.3-1
pari-galdata 20080412-1
pari-seadata-small 20090618-4
parted 3.6-2
passim 0.1.10-1
patch 2.8-1
patchelf 0.18.0-3
pavucontrol 1:6.2-1
pavucontrol-qt 2.3.0-1
pax 20240817-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsc-perl 1.4.16-3
pcsc-tools 1.7.3-1
pcsclite 2.4.0-3
pdfarranger 1.12.1-1
pdfjs 5.4.394-1
pdflib-lite 7.0.5p3-4
pdftk 3.3.3-4
peek 1.5.1-4
peg 0.1.19-1
perf 6.17-2
perl 5.42.0-1
perl-algorithm-diff 1:1.201-7
perl-alien-build 2.84-3
perl-alien-libxml2 0.20-3
perl-autovivification 0.18-12
perl-b-hooks-endofscope 0.28-3
perl-business-isbn 3.012-2
perl-business-isbn-data 20251121.001-1
perl-business-ismn 1.205-2
perl-business-issn 1.008-2
perl-cairo-gobject 1.005-5
perl-capture-tiny 0.50-3
perl-class-accessor 0.51-4
perl-class-data-inheritable 0.10-1
perl-class-factory-util 1.7-12
perl-class-inspector 1.36-9
perl-class-load 0.25-4
perl-class-method-modifiers 2.15-5
perl-class-singleton 1.6-3
perl-clone 0.47-2
perl-clone-choose 0.010-4
perl-common-sense 3.75-9
perl-cpan-perl-releases 5.20250703-2
perl-curses 1.45-3
perl-data-compare 1.29-5
perl-data-dump 1.25-7
perl-data-optlist 0.114-5
perl-data-uniqid 0.12-14
perl-datetime 1.66-2
perl-datetime-calendar-julian 0.107-5
perl-datetime-format-builder 1:0.83-7
perl-datetime-format-strptime 1.79-5
perl-datetime-locale 1.45-1
perl-datetime-timezone 2.65-1
perl-dbd-mysql 4.052-3
perl-dbi 1.647-2
perl-devel-cover 1.51-1
perl-devel-globaldestruction 0.14-12
perl-devel-patchperl 2.14-1
perl-devel-stacktrace 2.05-3
perl-dist-checkconflicts 0.11-12
perl-encode-locale 1.05-14
perl-error 0.17030-2
perl-eval-closure 0.14-12
perl-exception-class 1.45-6
perl-exporter-tiny 1.006002-5
perl-ffi-checklib 0.31-7
perl-file-chdir 0.1011-6
perl-file-find-rule 0.35-2
perl-file-listing 6.16-5
perl-file-next 1.18-7
perl-file-path-tiny 1.0-5
perl-file-pushd 1.016-9
perl-file-sharedir 1.118-7
perl-file-sharedir-install 0.14-5
perl-file-slurp-tiny 0.004-12
perl-file-slurper 0.014-5
perl-file-which 1.27-7
perl-font-ttf 1.06-6
perl-glib-object-introspection 0.052-1
perl-gtk3 0.038-5
perl-html-parser 3.83-2
perl-html-tagset 3.24-3
perl-http-cookiejar 0.014-4
perl-http-cookies 6.11-3
perl-http-daemon 6.16-5
perl-http-date 6.06-4
perl-http-message 7.01-1
perl-http-negotiate 6.01-15
perl-image-exiftool 13.36-1
perl-import-into 1.002005-12
perl-inc-latest 0.500-14
perl-io-html 1.004-7
perl-io-socket-ssl 2.095-1
perl-io-string 1.08-13
perl-ipc-run3 0.049-3
perl-json 4.10-2
perl-json-xs 4.04-1
perl-libwww 6.81-1
perl-lingua-translit 0.29-5
perl-list-allutils 0.19-5
perl-list-moreutils 0.430-7
perl-list-moreutils-xs 0.430-7
perl-list-someutils 0.59-5
perl-list-utilsby 0.12-5
perl-local-lib 2.000029-5
perl-locale-gettext 1.07-16
perl-log-log4perl 1.57-5
perl-log-message 0.08-12
perl-log-message-simple 0.10-12
perl-lwp-mediatypes 6.04-7
perl-lwp-protocol-https 6.14-3
perl-mailtools 2.22-2
perl-math-round 0.08-1
perl-memory-process 0.06-5
perl-memory-usage 0.201-5
perl-mime-charset 1.013.1-5
perl-module-build 0.4234-5
perl-module-implementation 0.09-12
perl-module-pluggable 6.3-2
perl-module-runtime 0.018-1
perl-moo 2.005005-5
perl-mozilla-ca 20250602-2
perl-mro-compat 0.15-5
perl-namespace-autoclean 0.31-2
perl-namespace-clean 0.27-12
perl-net-http 6.24-1
perl-net-ssleay 1.94-3
perl-number-compare 0.03-16
perl-package-deprecationmanager 0.18-5
perl-package-stash 0.40-6
perl-package-stash-xs 0.30-5
perl-parallel-forkmanager 2.04-1
perl-params-util 1.102-7
perl-params-validate 1.31-5
perl-params-validationcompiler 0.31-5
perl-parse-recdescent 1.967015-4
perl-parse-registry 1.1-3
perl-parse-yapp 1.21-9
perl-path-tiny 0.150-1
perl-perlio-utf8-strict 0.010-5
perl-readonly 2.05-5
perl-regexp-common 2024080801-3
perl-role-tiny 2.002004-7
perl-sgmls 1:1.1-13
perl-sort-key 1.33-15
perl-specio 0.53-1
perl-sub-exporter 0.991-3
perl-sub-exporter-progressive 0.001013-12
perl-sub-identify 0.14-14
perl-sub-install 0.929-3
perl-sub-name 0.28-2
perl-sub-quote 1:2.006009-1
perl-term-animation 2.6-13
perl-term-readline-gnu 1.47-2
perl-term-ui 0.50-6
perl-test-fatal 0.018-1
perl-text-bibtex 0.91-2
perl-text-csv 2.06-2
perl-text-glob 0.11-13
perl-text-roman 3.5-13
perl-tie-cycle 1.231-1
perl-timedate 2.33-8
perl-try-tiny 0.32-3
perl-types-serialiser 1.01-5
perl-unicode-linebreak 2019.001-9
perl-uri 5.34-1
perl-variable-magic 0.64-3
perl-www-robotrules 6.02-15
perl-xml-libxml 2.0210-4
perl-xml-libxml-simple 1.01-5
perl-xml-libxslt 2.003000-3
perl-xml-namespacesupport 1.12-6
perl-xml-parser 2.47-3
perl-xml-sax 1.02-2
perl-xml-sax-base 1.09-6
perl-xml-writer 0.900-5
perlbrew 1.02-1
phonon-qt5 4.12.0-4
phonon-qt5-gstreamer 4.10.0-4
phonon-qt6 4.12.0-5
phonon-qt6-vlc 0.12.0-5
php 8.4.15-1
php56 5.6.40-1
physfs 3.2.0-5
picom 12.5-3
pinentry 1.3.2-2
pingus 0.7.6-29
pipewire 1:1.4.9-1
pixman 0.46.4-1
pkcs11-helper 1.31.0-1
pkgconf 2.5.1-1
pkgfile 25-1
planarity 4.0.1.0-1
plasma-activities 6.5.3-1
plfit 1.0.1-1
plocate 1.1.23-1
pngcheck 2.3.0-2
pngcrush 1.8.13-4
polkit 126-2
polkit-qt5 0.200.0-1
polkit-qt6 0.200.0-1
polybar 3.7.2-2
polyclipping 6.4.2-4
poppler 25.11.0-1
poppler-data 0.4.12-2
poppler-glib 25.11.0-1
poppler-qt5 25.11.0-1
poppler-qt6 25.11.0-1
popt 1.19-2
portaudio 1:19.7.0-3
portmidi 1:2.0.7-1
portsmf 234-3
postgresql-libs 18.1-1
potrace 1.16-4
powerline 2.8.4-3
powerline-fonts 2.8.4-3
powertop 2.15-2
ppc-mxml 3.3.1-1
ppc-pkg-config 0.28-5
ppl 1.2-6
ppp 2.5.2-1
preload 0.6.4-6
primecount 7.20-1
primesieve 12.10-1
prismlauncher 9.4-1
prison 6.20.0-1
procps-ng 4.0.5-3
profile-sync-daemon 1:6.50-2
progsreiserfs 0.3.0.5-10
proj 9.7.0-1
projectm 3.1.12-5
projectm-pulseaudio 3.1.12-5
protobuf 33.0-2
protobuf-c 1.5.2-7
proxychains-ng 4.17-2
prrte 3.0.12-1
psmisc 23.7-1
pugixml 1.15-2
pulseaudio 17.0+r93+gbe2efb69b-1
pulseaudio-alsa 1:1.2.12-5
pulseaudio-bluetooth 17.0+r93+gbe2efb69b-1
pulseaudio-equalizer 17.0+r93+gbe2efb69b-1
pulseaudio-jack 17.0+r93+gbe2efb69b-1
pulsemixer 1.5.1-7
pulseview 0.4.2-17
purpose 6.20.0-1
purpose5 5.116.0-1
pv 1.10.2-1
pvoc 0.1.12-6
pwninit 3.3.1-2
py3status 3.63-1
pyalpm 0.10.12-1
pybind11 3.0.1-1
pygtk 2.24.0-8
pyrit 0.5.0-5
pyside2 5.15.13-1
pyside6 6.10.0-3
python 3.13.7-1
python-absl 2.3.1-1
python-aiohappyeyeballs 2.6.1-1
python-aiohttp 3.13.2-1
python-aiohttp-socks 0.10.1-1
python-aiorpcx 0.25.0-1
python-aiosignal 1.4.0-1
python-annotated-types 0.7.0-2
python-antlr4 4.13.2-2
python-anyio 4.11.0-1
python-anytree 2.13.0-1
python-appdirs 1.4.4-11
python-argcomplete 3.6.2-1
python-argon2-cffi 25.1.0-1
python-argon2-cffi-bindings 25.1.0-1
python-asn1crypto 1.5.1-5
python-astor 0.8.1-8
python-astroid 4.0.2-1
python-asttokens 3.0.0-1
python-astunparse 1.6.3-9
python-async-timeout 4.0.3-6
python-async_generator 1.10-8
python-attrs 25.4.0-1
python-aubio 0.4.9-23
python-autocommand 2.2.2-7
python-babel 2.17.0-1
python-backcall 0.2.0-8
python-bcrypt 5.0.0-1
python-beaker 1.13.0-4
python-beautifulsoup4 4.14.2-1
python-bitarray 3.8.0-1
python-bitstring 4.3.1-1
python-black 25.11.0-1
python-bleach 6.3.0-1
python-blinker 1.9.0-1
python-boolean.py 5.0-1
python-botocore 1.40.74-1
python-btchip 0.1.32-4
python-build 1.3.0-1
python-cachecontrol 1:0.14.4-1
python-cached-property 1.5.2-6
python-cachetools 6.2.2-1
python-cachy 0.3.0-11
python-cairo 1.29.0-1
python-cairocffi 1.7.1-1
python-cairosvg 2.7.1-4
python-capstone 5.0.6-1
python-certifi 2025.11.12-1
python-cffi 2.0.0-1
python-chardet 5.2.0-6
python-charset-normalizer 3.4.4-1
python-cleo 1:2.1.0-1
python-click 8.2.1-1
python-click-plugins 1.1.1-12
python-clikit 0.6.2-12
python-colorama 0.4.6-5
python-colored-traceback 0.3.0-6
python-comm 0.2.3-1
python-commonmark 0.9.1-12
python-contextlib2 21.6.0-2
python-contourpy 1.3.3-1
python-conway-polynomials 0.10-3
python-coverage 7.12.0-1
python-cramjam 2.11.0-1
python-crashtest 0.4.1-4
python-cryptography 46.0.3-1
python-cssselect 1.3.0-1
python-cssselect2 0.8.0-1
python-cvxopt 1.3.2-6
python-cycler 0.12.1-3
python-cypari2 2.2.4-1
python-cysignals 1.12.6-1
python-dateutil 2.9.0-6
python-dbus 1.4.0-1
python-dbusmock 0.37.1-1
python-debugpy 1.8.17-1
python-decorator 5.2.1-1
python-defusedxml 0.7.1-7
python-deprecated 1.2.18-1
python-deprecation 2.1.0-10
python-dill 0.4.0-1
python-distlib 0.4.0-1
python-distro 1.9.0-3
python-dlib 19.18-1
python-dnspython 1:2.8.0-1
python-docker 7.1.0-3
python-docker-pycreds 0.4.0-10
python-dockerpty 0.4.1-10
python-docopt 0.6.2-14
python-docutils 1:0.22.3-1
python-dotenv 1.2.1-1
python-dulwich 0.24.10-1
python-ecdsa 0.19.1-1
python-electrum-aionostr 0.0.11-1
python-electrum-ecc 0.0.6-1
python-entrypoints 0.4-6
python-executing 2.2.1-1
python-face_recognition 1.3.0-1
python-face_recognition_models 0.3.0-1
python-fastjsonschema 2.21.2-1
python-fido2 2.0.0-1
python-filelock 3.20.0-1
python-findpython 0.7.1-1
python-flask 3.1.2-1
python-flatbuffers 25.9.23-2
python-fluidity 0.2.1-6
python-fonttools 4.60.1-1
python-fpylll 0.6.4-1
python-frida 12.11.7-1
python-frida-tools 8.1.3-1
python-frozenlist 1.8.0-1
python-future 1.0.0-1
python-gast 0.6.0-2
python-gitdb 1:4.0.12-1
python-gitpython 3.1.45-1
python-gmpy2 2.2.1-2
python-gnuradio 3.10.12.0-9
python-gobject 3.54.5-1
python-google-auth 2.43.0-1
python-google-auth-oauthlib 1.2.3-1
python-greenlet 3.2.4-1
python-grpcio 1.76.0-1
python-grpcio-tools 1.76.0-1
python-h5py 3.15.1-1
python-helpdev 0.7.1-9
python-hidapi 0.14.0-4
python-html5lib 1.1-15
python-httplib2 0.31.0-1
python-idna 3.11-1
python-imagesize 1.4.1-6
python-importlib-metadata 8.7.0-1
python-inflect 7.5.0-1
python-iniconfig 2.1.0-1
python-installer 0.7.0-10
python-intervaltree 3.1.0-9
python-invoke 2.2.1-1
python-ipykernel 7.1.0-1
python-ipython-genutils 0.2.0-4
python-ipython-pygments-lexers 1.1.1-1
python-ipywidgets 8.1.8-1
python-isort 7.0.0-1
python-itsdangerous 2.2.0-1
python-jaraco.classes 3.4.0-2
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jarowinkler 1.2.3-1
python-jedi 0.19.2-1
python-jeepney 0.9.0-1
python-jinja 1:3.1.6-1
python-jmespath 1.0.1-5
python-json5 0.12.1-1
python-jsonpatch 1.33-4
python-jsonpointer 3.0.0-2
python-jsonrpclib-pelix 0.4.3.3-2
python-jsonschema 4.25.1-1
python-jsonschema-specifications 2025.9.1-1
python-jupyter-client 8.6.3-4
python-jupyter-core 5.9.1-1
python-jupyter-packaging 0.12.3-6
python-keras 3.12.0-1
python-keyring 25.7.0-1
python-kiwisolver 1.4.7-1
python-lark-parser 1.3.1-1
python-lazy-object-proxy 1.12.0-1
python-legacy-cgi 2.6.4-1
python-lexicon 3.0.0-1
python-license-expression 30.4.4-1
python-lockfile 0.12.2-14
python-lxml 6.0.2-1
python-lz4 4.4.5-1
python-mako 1.3.10-1
python-markdown 3.10.0-1
python-markdown-it-py 4.0.0-1
python-markdown2 2.5.4-1
python-markupsafe 3.0.2-1
python-matplotlib 3.10.8-1
python-matplotlib-inline 0.2.1-1
python-mccabe 0.7.0-8
python-mdurl 0.1.2-8
python-memory-allocator 0.1.4-3
python-ml-dtypes 0.5.4-1
python-more-itertools 10.8.0-1
python-mpmath 1.3.0-4
python-msgpack 1.1.2-1
python-multidict 6.7.0-1
python-mypy_extensions 1.1.0-1
python-nest-asyncio 1.6.0-4
python-netifaces 0.11.0-7
python-networkx 3.5-1
python-nspektr 0.5.0-3
python-numpy 2.3.5-1
python-oauth2client 4.1.3-11
python-oauthlib 3.3.1-1
python-opengl 3.1.9-1
python-opt_einsum 3.4.0-1
python-optree 0.18.0-1
python-ordered-set 4.1.0-7
python-packaging 25.0-1
python-pandas 2.3.1-1
python-pandocfilters 1.5.1-3
python-paramiko 4.0.0-1
python-parso 1:0.8.5-1
python-pasta 0.2.0-9
python-pastel 0.2.1-8
python-pathspec 0.12.1-3
python-pbkdf2 1.3-13
python-pbs-installer 2025.10.31-1
python-pefile 2024.8.26-1
python-pep517 0.13.0-1
python-pexpect 4.9.0-4
python-pickleshare 0.7.5-11
python-pikepdf 10.0.2-1
python-pillow 12.0.0-2
python-pip 25.3-1
python-pipenv 2025.0.4-1
python-pipreqs 0.4.13-2
python-pkginfo 1.12.1.2-1
python-platformdirs 4.5.0-1
python-pluggy 1.6.0-1
python-plumbum 1.9.0-2
python-ply 3.11-15
python-poetry 2.2.1-1
python-poetry-core 2.2.1-1
python-poetry-plugin-export 1.9.0-1
python-pooch 1.8.2-4
python-pplpy 0.8.10-3
python-primecountpy 0.1.1-1
python-progress 1.6-5
python-prometheus_client 0.23.1-1
python-prompt_toolkit 3.0.52-1
python-propcache 0.4.1-1
python-protobuf 33.0-2
python-psutil 7.1.3-1
python-ptyprocess 0.7.0-8
python-pure-eval 0.2.3-2
python-pwntools 4.15.0-1
python-pyaes 1.6.1-12
python-pyalsa 1.2.14-1
python-pyasn1 0.6.1-1
python-pyasn1-modules 0.4.2-1
python-pycparser 2.23-1
python-pycryptodome 3.23.0-1
python-pycryptodomex 3.23.0-1
python-pydantic 2.12.4-1
python-pydantic-core 3:2.41.5-1
python-pydot 3.0.4-1
python-pyelftools 0.32-1
python-pygccxml 3.0.2-1
python-pygments 2.19.2-1
python-pylev 1.4.0-9
python-pylint 4.0.3-1
python-pynacl 1.6.1-1
python-pynest2d 4.12.0-1
python-pynvim 0.6.0-1
python-pyopenssl 25.3.0-1
python-pyotherside 1.6.2-1
python-pyparsing 3.2.5-1
python-pypng 0.20250521.0-1
python-pyproject-hooks 1.2.0-3
python-pyqt5 5.15.11-3
python-pyqt5-3d 5.15.7-1
python-pyqt5-chart 5.15.7-1
python-pyqt5-datavisualization 5.15.6-1
python-pyqt5-purchasing 5.15.6-1
python-pyqt5-sip 12.17.1-1
python-pyqt5-webengine 5.15.7-2
python-pyqt6 6.10.0-1
python-pyqt6-sip 13.10.2-1
python-pyqtgraph 0.13.7-2
python-pyrsistent 0.19.3-4
python-pyscard 2.3.1-1
python-pyserial 3.5-7
python-pysocks 1.7.1-10
python-pyte 0.8.2-4
python-pytest 1:8.4.2-1
python-python-socks 2.7.2-1
python-pytokens 0.3.0-1
python-pytoml 0.1.21-8
python-pytools 2024.1.6-1
python-pytz 2025.2-1
python-pytz-deprecation-shim 0.1.0.post0-6
python-pyusb 1.3.1-1
python-pyzmq 27.1.0-1
python-qdarkstyle 3.2.3-4
python-qrcode 8.2-1
python-qtawesome 1.4.0-1
python-qtpy 2.4.3-4
python-rapidfuzz 3.14.3-1
python-referencing 0.37.0-1
python-rencode 1.0.8-2
python-requests 2.32.5-1
python-requests-oauthlib 1.3.1-5
python-requests-toolbelt 1.0.0-3
python-requests-unixsocket 0.4.1-1
python-resolvelib 1.2.1-1
python-retrying 1.3.4-4
python-rich 14.2.0-1
python-roman-numerals-py 3.1.0-1
python-rpds-py 0.29.0-1
python-rpy2 3.6.4-1
python-rpy2-rinterface 3.6.4-1
python-rpy2-robjects 3.6.4-1
python-rpyc 6.0.1-2
python-rsa 4.9.1-1
python-s3transfer 0.14.0-1
python-scapy 2.6.1-1
python-scipy 1.16.3-1
python-scrypt 0.9.4-1
python-secretstorage 3.3.3-6
python-send2trash 1.8.3-2
python-setuptools 1:80.9.0-2
python-setuptools-scm 9.2.2-1
python-shapely 2.1.1-1
python-shellingham 1.5.4-3
python-shiboken2 5.15.13-1
python-sip4 4.19.25-3
python-six 1.17.0-1
python-smmap 1:6.0.0-2
python-snappy 0.7.2-2
python-sniffio 1.3.1-4
python-snowballstemmer 2.2.0-7
python-sortedcontainers 2.4.0-7
python-soupsieve 2.8-1
python-sphinx 8.2.3-1
python-sphinx-alabaster-theme 1.0.0-4
python-sphinxcontrib-applehelp 2.0.0-3
python-sphinxcontrib-devhelp 2.0.0-4
python-sphinxcontrib-htmlhelp 2.1.0-3
python-sphinxcontrib-jsmath 1.0.1-19
python-sphinxcontrib-qthelp 2.0.0-3
python-sphinxcontrib-serializinghtml 2.0.0-3
python-stack-data 0.6.3-4
python-standard-cgi 3.13.0-3
python-stem 1.8.3-3
python-sympy 1.14.0-1
python-tenacity 9.1.2-1
python-tensorboard_plugin_wit 1.8.1-10
python-tensorflow 2.20.0-3
python-tensorflow-estimator 2.15.0-2
python-termcolor 3.2.0-1
python-terminado 0.18.1-3
python-testpath 0.6.0-4
python-texttable 1.7.0-3
python-thrift 0.22.0-4
python-tinycss2 1.4.0-2
python-toml 0.10.2-12
python-tomli 2.2.1-1
python-tomlkit 0.13.3-1
python-tornado 6.5.2-1
python-tqdm 4.67.1-2
python-traitlets 5.14.3-3
python-trimesh 3.9.31-3
python-trove-classifiers 2025.9.11.17-1
python-typeguard 4.4.4-1
python-typing-inspection 0.4.2-1
python-typing_extensions 4.15.0-1
python-tzdata 2025.2.post0-1
python-tzlocal 1:5.3.1-1
python-uc-micro-py 1.0.3-3
python-unicorn 2.1.4-1
python-urllib3 2.5.0-2
python-validate-pyproject 0.24.1-1
python-virtualenv 20.35.4-1
python-virtualenv-clone 0.5.7-6
python-waitress 3.0.2-1
python-wcwidth 0.2.14-1
python-webencodings 0.5.1-12
python-websocket-client 1.9.0-2
python-werkzeug 3.1.3-1
python-wheel 0.45.1-1
python-wrapt 1.17.3-1
python-wxpython 1:4.2.3-3
python-yaml 6.0.3-1
python-yara 4.5.1-1
python-yarg 0.1.9-10
python-yarl 1.22.0-1
python-zipp 3.21.0-2
python-zstandard 0.25.0-1
python2 2.7.18-5
python2-appdirs 1.4.4-6
python2-asn1crypto 1.4.0-3
python2-babel 2.8.0-4
python2-backports 1.0-3
python2-cachecontrol 0.12.6-5
python2-cairo 1.18.2-4
python2-cffi 1.14.6-2
python2-chardet 4.0.0-2
python2-colorama 0.4.4-3
python2-configparser 4.0.2-2
python2-contextlib2 0.6.0.post1-3
python2-cryptography 3.3.2-1
python2-distlib 0.3.3-1
python2-distorm 3.5-2
python2-distro 1.6.0-1
python2-docutils 0.17.1-1
python2-enum34 1.1.9-1
python2-gobject 3.36.1-4
python2-gobject2 2.28.7-6
python2-html5lib 1.1-8
python2-idna 2.10-4
python2-imagesize 1.2.0-1
python2-importlib-metadata 2.1.1-1
python2-ipaddress 1.0.23-2
python2-jinja 2.11.3-1
python2-markupsafe 1.1.1-6
python2-more-itertools 5.0.0-2
python2-msgpack 0.6.2-4
python2-ordered-set 3.1.1-4
python2-packaging 20.9-7
python2-pathlib2 2.3.6-1
python2-pep517 0.11.0-1
python2-pip 20.3.4-1
python2-ply 3.11-7
python2-progress 1.6-1
python2-psutil 5.9.0-1
python2-pycparser 2.20-3
python2-pycryptodome 3.15.0-1
python2-pygit2 0.28.2-2
python2-pygments 2.5.2-2
python2-pyopenssl 20.0.1-1
python2-pyparsing 2.4.7-6
python2-pytoml 0.1.21-3
python2-pytz 2021.1-1
python2-requests 2.26.0-1
python2-resolvelib 0.5.5-1
python2-retrying 1.3.3-9
python2-scandir 1.10.0-3
python2-setuptools 2:44.1.1-2
python2-six 1.16.0-5
python2-snowballstemmer 2.0.0-3
python2-sphinx 1.8.5-5
python2-sphinx-alabaster-theme 0.7.12-3
python2-sphinxcontrib-websupport 1.1.2-3
python2-sqlalchemy 1.3.23-1
python2-toml 0.10.2-3
python2-typing 3.10.0.0-1
python2-ujson 2.0.3-1
python2-urllib3 1.26.7-1
python2-webencodings 0.5.1-6
python2-zipp 1:1.1.1-1
qbittorrent 5.1.4-1
qca-qt5 2.3.10-4
qca-qt6 2.3.10-4
qd 2.3.24-1
qemu-audio-alsa 10.1.2-2
qemu-audio-dbus 10.1.2-2
qemu-audio-jack 10.1.2-2
qemu-audio-oss 10.1.2-2
qemu-audio-pa 10.1.2-2
qemu-audio-pipewire 10.1.2-2
qemu-audio-sdl 10.1.2-2
qemu-audio-spice 10.1.2-2
qemu-base 10.1.2-2
qemu-block-curl 10.1.2-2
qemu-block-dmg 10.1.2-2
qemu-block-iscsi 10.1.2-2
qemu-block-nfs 10.1.2-2
qemu-block-ssh 10.1.2-2
qemu-chardev-spice 10.1.2-2
qemu-common 10.1.2-2
qemu-desktop 10.1.2-2
qemu-emulators-full 10.1.2-2
qemu-guest-agent 10.1.2-2
qemu-hw-display-qxl 10.1.2-2
qemu-hw-display-virtio-gpu 10.1.2-2
qemu-hw-display-virtio-gpu-gl 10.1.2-2
qemu-hw-display-virtio-gpu-pci 10.1.2-2
qemu-hw-display-virtio-gpu-pci-gl 10.1.2-2
qemu-hw-display-virtio-gpu-pci-rutabaga 10.1.2-2
qemu-hw-display-virtio-gpu-rutabaga 10.1.2-2
qemu-hw-display-virtio-vga 10.1.2-2
qemu-hw-display-virtio-vga-gl 10.1.2-2
qemu-hw-display-virtio-vga-rutabaga 10.1.2-2
qemu-hw-s390x-virtio-gpu-ccw 10.1.2-2
qemu-hw-uefi-vars 10.1.2-2
qemu-hw-usb-host 10.1.2-2
qemu-hw-usb-redirect 10.1.2-2
qemu-hw-usb-smartcard 10.1.2-2
qemu-img 10.1.2-2
qemu-pr-helper 10.1.2-2
qemu-system-aarch64 10.1.2-2
qemu-system-alpha 10.1.2-2
qemu-system-alpha-firmware 10.1.2-2
qemu-system-arm 10.1.2-2
qemu-system-arm-firmware 10.1.2-2
qemu-system-avr 10.1.2-2
qemu-system-hppa 10.1.2-2
qemu-system-hppa-firmware 10.1.2-2
qemu-system-loongarch64 10.1.2-2
qemu-system-m68k 10.1.2-2
qemu-system-microblaze 10.1.2-2
qemu-system-microblaze-firmware 10.1.2-2
qemu-system-mips 10.1.2-2
qemu-system-or1k 10.1.2-2
qemu-system-ppc 10.1.2-2
qemu-system-ppc-firmware 10.1.2-2
qemu-system-riscv 10.1.2-2
qemu-system-riscv-firmware 10.1.2-2
qemu-system-rx 10.1.2-2
qemu-system-s390x 10.1.2-2
qemu-system-s390x-firmware 10.1.2-2
qemu-system-sh4 10.1.2-2
qemu-system-sparc 10.1.2-2
qemu-system-sparc-firmware 10.1.2-2
qemu-system-tricore 10.1.2-2
qemu-system-x86 10.1.2-2
qemu-system-x86-firmware 10.1.2-2
qemu-system-xtensa 10.1.2-2
qemu-tools 10.1.2-2
qemu-ui-curses 10.1.2-2
qemu-ui-dbus 10.1.2-2
qemu-ui-egl-headless 10.1.2-2
qemu-ui-gtk 10.1.2-2
qemu-ui-opengl 10.1.2-2
qemu-ui-sdl 10.1.2-2
qemu-ui-spice-app 10.1.2-2
qemu-ui-spice-core 10.1.2-2
qemu-user 10.1.2-2
qemu-vhost-user-gpu 10.1.2-2
qflipper-git 1.1.0-2
qhull 2020.2-5
qpdf 12.2.0-1
qrcodegencpp-cmake 1.8.0-4
qrencode 4.1.1-4
qscintilla-qt5 2.14.1-4
qsynth 1.0.3-2
qt5-3d 5.15.18-1
qt5-base 5.15.18+kde+r109-2
qt5-charts 5.15.17-1
qt5-connectivity 5.15.17+kde+r2-1
qt5-datavis3d 5.15.16-3
qt5-declarative 5.15.18+kde+r22-1
qt5-gamepad 5.15.15-1
qt5-graphicaleffects 5.15.18-1
qt5-imageformats 5.15.18+kde+r2-1
qt5-location 5.15.18+kde+r7-2
qt5-lottie 5.15.15-1
qt5-multimedia 5.15.18+kde+r2-1
qt5-networkauth 5.15.18-1
qt5-purchasing 5.15.15-1
qt5-quick3d 5.15.17+kde+r1-2
qt5-quickcontrols 5.15.18-1
qt5-quickcontrols2 5.15.18+kde+r5-1
qt5-remoteobjects 5.15.17-1
qt5-script 5.15.19-3
qt5-scxml 5.15.17-1
qt5-sensors 5.15.18-1
qt5-serialbus 5.15.15-1
qt5-serialport 5.15.18-1
qt5-speech 5.15.18+kde+r1-1
qt5-svg 5.15.18+kde+r5-1
qt5-tools 5.15.18+kde+r3-1
qt5-translations 5.15.18-1
qt5-virtualkeyboard 5.15.18-1
qt5-wayland 5.15.18+kde+r55-1
qt5-webchannel 5.15.17+kde+r3-1
qt5-webengine 5.15.19-3
qt5-webglplugin 5.15.15-1
qt5-webkit 5.212.0alpha4-17
qt5-websockets 5.15.17+kde+r2-1
qt5-webview 5.15.15-1
qt5-x11extras 5.15.18-1
qt5-xmlpatterns 5.15.18-1
qt6-5compat 6.10.0-2
qt6-base 6.10.0-3
qt6-charts 6.10.0-1
qt6-declarative 6.10.0-2
qt6-imageformats 6.10.0-1
qt6-multimedia 6.10.0-3
qt6-multimedia-ffmpeg 6.10.0-3
qt6-networkauth 6.10.0-1
qt6-positioning 6.10.0-1
qt6-scxml 6.10.0-1
qt6-shadertools 6.10.0-1
qt6-speech 6.10.0-1
qt6-svg 6.10.0-2
qt6-tools 6.10.0-2
qt6-translations 6.10.0-1
qt6-wayland 6.10.0-1
qt6-webchannel 6.10.0-1
qt6-webengine 6.10.0-3
qt6-websockets 6.10.0-1
qtkeychain-qt5 0.15.0-3
qtkeychain-qt6 0.15.0-3
qtractor 1.5.9-1
quazip-qt6 1.5-1
qwt 6.3.0-1
r 4.5.2-2
r2ghidra 5.9.8-1
radare2 5.9.8-1
ragel 6.10-4
ranger 1.9.4-4
rankwidth 0.9-4
rapidjson 1.1.0-6
raptor 2.0.16-9
rasqal 1:0.9.33-7
rav1e 0.8.1-2
rawtherapee 1:5.12-1
rdesktop 1.9.0-2
rdma-core 60.0-2
re2 1:20240702-7
re2c 4.3-1
readline 8.3.001-1
realtime-privileges 5-1
reaver 1.6.6-1
recode 3.7.15-1
recordmydesktop 0.4.0-4
redis 7.2.5-1
redland 1:1.0.17-9
redshift 1.12-14
refind 0.14.2-1
