7zip 25.01-1
dotnet-host 9.0.9.sdk110-1
dotnet-runtime 9.0.9.sdk110-1
dotnet-runtime-6.0 6.0.36.sdk136-2
dotnet-sdk 9.0.9.sdk110-1
dotnet-sdk-6.0 6.0.36.sdk136-2
dotnet-targeting-pack 9.0.9.sdk110-1
dotnet-targeting-pack-6.0 6.0.36.sdk136-2
double-conversion 3.3.1-1
doxygen 1.15.0-1
dpdk 24.11.3-1
dpkg 1.22.21-1
dtc 1.7.2-4
duktape 2.7.0-7
dunst 1.13.0-1
dvisvgm 3.5-2
e-antic 2.1.0-2
e2fsprogs 1.47.3-2
ecl 24.5.10-3
eclib 20250627-3
ecryptfs-utils 111-9
ed 1.22.2-1
edk2-aarch64 202508-1
edk2-arm 202508-1
edk2-ovmf 202508-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.2.1-1
egl-wayland 4:1.1.20-1
egl-x11 1.0.3-1
eglexternalplatform 1.2.1-1
eigen 5.0.1-1
electron 1:38-1
electron10 10.4.7-3
electron11 11.5.0-5
electron13 13.6.9-3
electron18 18.3.9-3
electron19 19.1.9-5
electron21 21.4.4-1
electron27 27.3.11-10
electron31 31.7.7-4
electron34 34.5.8-1
electron35 35.7.5-1
electron36 36.9.3-1
electron37 37.5.1-1
electron38 38.7.1-1
electron4 4.2.12-6
electron5 5.0.13-7
electron6 6.1.12-5
electron9 9.4.4-5
electrum 4.6.2-1
elfutils 0.194-1
enchant 2.8.12-2
ethtool 1:6.15-1
evdi 1.11.0-2
evince 1:48.1-1
evtest 1.36-1
exempi 2.6.6-2
exfat-utils 1.4.0-4
exiv2 0.28.7-1
expat 2.7.3-1
expect 5.45.4-5
ext4magic 0.3.2-5
faac 1.31.1-1
faad2 2.11.2-1
fakeroot 1.37.1.2-1
faudio 24.03-1
feh 3.11.2-2
ffcall 2.5-1
fflas-ffpack 2.5.0-2
ffmpeg 2:8.0.1-1
ffmpeg4.4 4.4.6-3
fftw 3.3.10-7
ffuf-bin 1.0.2-1
file 5.46-5
filesystem 2025.10.12-1
filezilla 3.69.5-1
findutils 4.10.0-3
fingerprint-gui 1.09-6
firefox 145.0.1-1
flac 1.5.0-1
flashrom 1.6.0-1
flatpak 1:1.16.1-1
flex 2.6.4-5
flickcurl 1.26-13
flint 3.3.1-1
flintqs 1:1.0-3
fltk 1.4.4-2
fltk1.3 1.3.11-2
fluidsynth 2.5.1-1
fmt 12.1.0-1
font-bh-ttf 1.0.3-6
font-bitstream-speedo 1.0.2-5
font-mathematica 9.0-6
fontconfig 2:2.17.1-1
foremost 1.5.7-7
fplll 5.5.0-1
fprintd 1.94.5-1
freeglut 3.8.0-1
freeimage 3.18.0-23
freepats-general-midi 20221026-2
freerdp 2:3.17.2-6
freerdp2 2.11.7-5
freetds 1.5.9-1
freetype2 2.14.1-1
frei0r-plugins 2.5.0-1
fribidi 1.0.16-2
fswebcam 20200725-1
ftgl 2.4.0-3
fuse-common 3.17.4-1
fuse2 2.9.9-5
fuse3 3.17.4-1
fwupd 2.0.17-1
fwupd-efi 1.8-1
fzf 0.67.0-1
gameconqueror 0.17-10
gamecube-tools 1.0.7-1
gap 4.15.1-1
gavl 1.4.0-9
gawk 5.3.2-1
gc 8.2.10-2
gcab 1.6-2
gcc 15.2.1+r301+gf24307422d1d-1
gcc-libs 15.2.1+r301+gf24307422d1d-1
gcc10 1:10.3.0-2
gcc10-libs 1:10.3.0-2
gcc11 11.3.0-5
gcc11-libs 11.3.0-5
gcc14-libs 14.3.1+r25+g42e99e057bd7-1
gcc8 8.4.0-1
gcc8-libs 8.4.0-1
gcc9 9.3.0-3
gcc9-libs 9.3.0-3
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdb 16.3-1
gdb-common 16.3-1
gdbm 1.26-1
gdk-pixbuf2 2.44.4-1
gdl 3.40.0-2
geckodriver 0.36.0-1
gegl 0.4.64-1
general-tools 1.4.4-1
geoclue 2.8.0-1
geocode-glib 3.26.4-4
geocode-glib-common 3.26.4-4
geos 3.14.1-1
gettext 0.26-1
gexiv2 0.16.0-1
gf2x 1.3.0-3
gfan 0.7-1
gfxstream 0.1.2-2
ghc-libs 9.6.6-1
ghex 48.3-1
ghidra 11.4.2-1
ghostscript 10.06.0-1
giac 2.0.0.12-6
giblib 1.2.4-8
giflib 5.2.2-2
gifsicle 1.95-1
gimp 3.0.6-2
gimp-nufraw 0.43.3-11
git 2.52.0-2
git-crypt 0.8.0-1
github-cli 2.83.1-1
givaro 4.2.1-1
gl2ps 1.4.2-3
glew 2.2.0-7
glib-networking 1:2.80.1-1
glib-perl 1.329.4-3
glib2 2.86.2-1
glib2-docs 2.86.2-1
glibc 2.42+r33+gde1fe81f4714-1
glibmm 2.66.8-1
glibmm-2.68 2.86.0-1
glm 1.0.2-1
glpk 5.0-3
glslang 1:1.4.328.1-1
glu 9.0.3-2
glycin 2.0.7-1
gmic 3.6.4-1
gmp 6.3.0-2
gmp-ecm 7.0.6-1
gn 0.2238.a84e399f-1
gnome-autoar 0.4.5-1
gnome-common 3.18.0-5
gnome-desktop 1:44.4-1
gnome-desktop-4 1:44.4-1
gnome-desktop-common 1:44.4-1
gnome-disk-utility 46.1-2
gnome-keyring 1:48.0-1
gnome-online-accounts 3.56.2-1
gnome-screenshot 1:41.0-1
gnome-terminal 3.58.0-1
gnome-video-effects 1:0.6.0-2
gnu-free-fonts 20120503-8
gnu-netcat 0.7.1-11
gnulib-l10n 20241231-1
gnupg 2.4.8-3
gnuplot 6.0.3-1
gnuradio 3.10.12.0-9
gnuradio-fcdproplus 3.8.0-9
gnuradio-iqbal 0.38.3-1
gnuradio-osmosdr 0.2.6-13
gnutls 3.8.11-2
go 2:1.25.4-1
go-tools 4:0.39.0-1
gobject-introspection 1.86.0-1
gobject-introspection-runtime 1.86.0-1
gparted 1.7.0-1
gperf 3.3-1
gperftools 2.17.2-1
gpgme 2.0.1-1
gpgmepp 2.0.0-2
gphoto2 2.5.32-1
gpm 1.20.7.r38.ge82d1a6-6
gptfdisk 1.0.10-1
gradle 9.2.0-1
granite 1:6.2.0-1
granite7 7.6.0-1
graphene 1.10.8-2
graphicsmagick 1.3.46-1
graphite 1:1.3.14-5
graphviz 14.0.4-1
grep 3.12-2
groff 1.23.0-7
grub 2:2.14rc1-2
gruvbox-icon-theme 1.0-4
gsasl 2.2.2-1
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsfonts 20200910-6
gsl 2.8-1
gsm 1.0.23-1
gspell 1.14.1-2
gssdp 1.6.4-1
gssproxy 0.9.2-2
gst-libav 1.26.8-1
gst-plugin-gtk 1.26.8-1
gst-plugins-bad 1.26.8-1
gst-plugins-bad-libs 1.26.8-1
gst-plugins-base 1.26.8-1
gst-plugins-base-libs 1.26.8-1
gst-plugins-good 1.26.8-1
gstreamer 1.26.8-1
gtest 1.17.0-1
gthumb 3.12.8.1-1
gtk-doc 1.35.1-1
gtk-engine-murrine 0.98.2-4
gtk-theme-arc-gruvbox-git r12.e5ea0ff-1
gtk-update-icon-cache 1:4.20.3-1
gtk2 2.24.33-5
gtk2fontsel 0.1-8
gtk3 1:3.24.51-1
gtk4 1:4.20.3-1
gtkimageview 1.6.4-9
gtkmm 1:2.24.5-5
gtkmm-4.0 4.20.0-1
gtkmm3 3.24.10-1
gtksourceview4 4.8.4-2
gtkspell 2.0.16-9
gtkspell3 3.0.10-3
gts 0.7.6.121130-5
guile 3.0.10-1
guile1.8 1.8.8-8
guile2.0 2.0.14-6
guile2.2 2.2.7-5
gumbo-parser 0.13.2-1
gunicorn 23.0.0-2
gupnp 1:1.6.9-1
gupnp-dlna 0.12.0-4
gupnp-igd 1.6.0-2
gvfs 1.58.0-2
gvfs-mtp 1.58.0-2
gzip 1.14-2
hackrf 2024.02.1-4
harfbuzz 12.2.0-2
harfbuzz-icu 12.2.0-2
harvid 0.9.1-5
hashcat 1:7.1.2-1
hashcat-utils 1.9-3
haskell-aeson 2.1.2.1-182
haskell-aeson-pretty 0.8.10-142
haskell-ansi-terminal 1.0.2-154
haskell-ansi-terminal-types 0.11.5-194
haskell-ansi-wl-pprint 1.0.2-230
haskell-appar 0.1.8-16
haskell-asn1-encoding 0.9.6-330
haskell-asn1-parse 0.9.5-329
haskell-asn1-types 0.3.4-308
haskell-assoc 1.1.1-40
haskell-async 2.2.5-268
haskell-attoparsec 0.14.4-174
haskell-attoparsec-aeson 2.1.0.0-166
haskell-attoparsec-iso8601 1.1.1.0-19
haskell-auto-update 0.1.6-448
haskell-base-compat 0.14.1-2
haskell-base-compat-batteries 0.14.1-42
haskell-base-orphans 0.9.3-82
haskell-base-unicode-symbols 0.2.4.2-16
